,2025,2024,% Variación
"Hombres 1.048 1.043 0,48 %",,,
"Mujeres 1.184 1.154 2,60 %",,,
Otro 0 0 — %,,,
No notificado 0 0 — %,,,
Total,2.232,2.197,"1,59 %"
