,,Individual,Consolidated
Explanatory Notes,2376,-,-
Condensed consolidated interim financial statements,2377,-,X
Completed consolidated interim financial statements,2378,-,-
Interim management report,2379,-,X
Auditor´s report,2380,-,X
,,,
,,,
,,,
