Activos totales,2024 2023
España,770.900 740.727 6.300 4.737 23.520 27.278 18.400 15.537 7.839 5.660 4.693 5.438
Portugal,
Alemania,
Italia,
UK,
Francia,
Suiza,202 229
Polonia,168 278
,832.022 799.884
