,Miles de euros,,,,,
,Cuenta de pérdidas y ganancias,,,,Ingresos y gastos imputados directamente al patrimonio neto,
Saldo ingresos y gastos,,,39.116,,,(407)
,Aumentos Disminuciones Total,,,,Aumentos Disminuciones Total,
Impuesto sobre Sociedades Diferencias permanentes - Individuales - De consolidación Diferencias temporarias: - Individuales - con origen en el ejercicio - con origen en ejercicios ant. - De Consolidación - con origen en el ejercicio - con origen en ejercicios ant. Base imponible previa,,,5.564,,,(139)
,,,,,,
,634,(13.384),(12.750),,— — — — — —,
,— — —,,,,,
,,,,,,
,2.435,—,2.435,,— — — — — —,
,239 (6.879) (6.640),,,,,
,,,,,,
,— (14.317) (14.317) 12.401 — 12.401,,,,— — — — — —,
,,,25.809,,,(546)
