,,CURRENT PERIOD,,,,
,,Significant share- holders,Directors and senior manage- ment,"Persons, companies or entities belonging to the group",Other related parties,Total
Financing agreements: loans & capital contributions (lender),2372,,,,19.091,19.091
Financing agreements: loans & capital contributions (borrower),2375,,,,,
Guarantees and guarantee deposits furnished,2381,,,,,
Guarantees and guarantee deposits received,2382,,,,,
Commitments acquired,2383,,,,,
Dividends and other profits distributed,2386,,,,,
Other transactions,2385,,,,,
