Ejercicio financiero 2024,Actividades económicas,)aímonoxat al a natsuja es on euq sedadivitca( selbinetsos etnemlatneibmaoidem on orep aímonoxat al núges selbigele sedadivitcA .2.A,socituécamraf saicnatsus ed nóicacirbaF )*( o savitca setneidergni )AFI( sovitca,)*( ed sotnemacidem nóicacirbaF,adigocer sauga ed selaudiser al otneimatart ed nóicavoneR le y,sedadivitca al on etnemlatneibmaoidem sedadivitca( al a )2.A( núges orep natsuja )aímonoxat aímonoxat ed selbigele selbinetsos es xEpO on euq,sedadivitca )2.A+1.A( al núges ed selbigele aímonoxat xEpO .A,aímonoxaT al núges selbigele on sedadivitcA . B,on sedadivitca al núges )B( aímonoxat selbigele ed xEpO,Total
2024,Códigos,,PPC 1.1,PPC 1.2,CCM 5.4,,,,,
,OpEx (€),,248.173,9.498.144,39.847,9.786.164,9.933.047,,27.314.953,37.248.000
,Proporción OpEx 2024,,"0,666 %","25,500 %","0,107 %","26,273 %","26,667 %",,"73,333 %",100%
Criterios de contribución sustancial,Mitigación del cambio climático,,N/EL,N/EL,EL,"0,107 %","0,501 %",,,
,Adaptación al cambio climático,,N/EL,N/EL,N/EL,0%,0%,,,
,Agua,,N/EL,N/EL,N/EL,0%,0%,,,
,Contaminación,,EL,EL,N/EL,"26,166 %","26,166 %",,,
,Economía circular,,N/EL,N/EL,N/EL,0%,0%,,,
,Biodiversidad,,N/EL,N/EL,N/EL,0%,0%,,,
"Criterios de ausencia de perjuicio significativo (""No causa un perjuicio significativo"")",Mitigación del cambio climático,,,,,,,,,
,Adaptación al cambio climático,,,,,,,,,
,Agua,,,,,,,,,
,Contaminación,,,,,,,,,
,Economía circular,,,,,,,,,
,Biodiversidad,,,,,,,,,
,Garantía mínimas,,,,,,,,,
,"Proporción OpEx que se ajusta a la taxonomía (A.1.) o elegible según la taxonomía (A.2), año 2023",,"1,325 %","24,063 %","0,061 %","25,459 %","25,595 %",,,
,Categoría actividad facilitadora,,,,,,,,,
,Categoría actividad de transición,,,,,,,,,
