,2022 2021
Beneficio atribuible a los accionistas de la Sociedad,199.669 153.077 53.466 55.404
Nº medio ponderado de acciones ordinarias en circulación (miles),
Ganancias básicas y diluidas por acción (euros por acción),"3,73 2,76"
