BAI IS Subvenciones
44.982 -5.545 2.109
-132 -20 0
-144 0 0
-25 0 0
1.014 -241 0
215.030 -53.048 3
512 -128 0
-10 3 0
-692 173 0
-1 0 0
-110 0 0
766 -334 0
-75 0 0
114 0 0
-104 0 0
-9 0 0
261.116 -59.139 2.112
