,Miles de euros,,,
,2024,,,2023
,Saldo Saldo deudor acreedor,,,Saldo Saldo deudor acreedor
Por compras/ventas o prestación de servicios - Dependientes - Entidades participadas por la familia López-Belmonte Encina,,,,
,55.956,173.114 38,,
,—,,,
,55.956,173.152 1.588,,
Por deuda por Impuesto de Sociedades - Dependientes (Nota 23),,,,
,41.894,,,
,41.894,1.588 72.500,,
"Por préstamos concedidos, a valor razonable: - Dependientes",,,,
,50.026,,,
,50.026,72.500 3.028,,
Por intereses: - Dependientes,,,,
,1.779,,,
,1.779,3.028,,
Por cashpooling: - Dependientes,,,,
,1.275 13.962,,,
,1.275,13.962 2.564 306,,
Otros conceptos: - Administradores - Alta dirección,,,,
,— —,,,
,—,2.870,,
,,,,
TOTAL,150.930 267.100,,,
