Name,Position
,
MR PEDRO CARRETERO TRILLO,Hospital Network Manager
MS ARÁNZAZU LOZANO PIRRONGELLI,Internal Audit
MR FERNANDO MARTÍNEZ GARIJO,Sales Effectiveness Manager
MR MIGUEL ÁNGEL CASTILLO SAN ROMÁN,International & Business Development Manager
