,"Adjustment Grants, s donations & Share Share Treasury Retained Profit for for legacies capital premium Reserves shares earnings the year changes in received (Note 14) (Note 15) (Note 15) (Note 15) (Note 15) (Note 16) value (Note 17) TOTAL"
BALANCE AT END OF 2017,"3,000 - 6,959 (8,407) 131,475 18,673 (2) 3,489 155,187"
Adjustments for changes in policies 2017 and prior periods Adjustments for errors 2017 and prior periods,- - - - - - - - - - - - - - - - - -
ADJUSTED BALANCE BEGINNING OF 2018,"3,000 - 6,959 (8,407) 131,475 18,673 (2) 3,489 155,187"
Total recognised income and expenses - Application of profit for 2017 - Distribution of dividends - Transactions with treasury shares (net) Other movements on equity,"- - - - - 15,581 (1) (361) 15,219 - - - - 12,721 (12,721) - - - - - - - - (5,952) - - (5,952) - - - (405) 253 - - - (152) 364 87,636 - - (3,881) - - - 84,119"
BALANCE AT END OF 2018,"3,364 87,636 6,959 (8,812) 140,568 15,581 (3) 3,128 248,421"
Adjustments for changes in policies 2018 and prior periods Adjustments for errors 2018 and prior periods,- - - - - - - - - - - - - - - - - -
ADJUSTED BALANCE BEGINNING OF 2019,"3,364 87,636 6,959 (8,812) 140,568 15,581 (3) 3,128 248,421"
Total recognised income and expenses - Application of profit for 2018 - Distribution of dividends - Transactions with treasury shares (net),"- - - - - 25,553 - (378) 25,175 - - 73 - 11,088 (11,161) - - - - - - - - (4,420) - - (4,420) - - - (1,529) 1,682 - - - 153"
BALANCE AT END OF 2019,"3,364 87,636 7,032 (10,341) 153,338 25,553 (3) 2,750 269,329"
