No corrientes,2023 2022
Préstamos de entidades de crédito,31.250 37.679 7.325 8.365 13.667 13.397
Deudas con organismos oficiales,
Pasivos financieros por arrendamiento,
,52.242 59.441
Corrientes,
Préstamos de entidades de crédito,6.495 6.428 1.565 1.810 5.125 4.459 — 28
Deudas con organismos oficiales,
Pasivos financieros por arrendamiento,
Instrumentos financieros derivados,
,13.185 12.725
,65.427 72.166
