,Nota,A 31 de diciembre de,
,,2016,2015
PATRIMONIO NETO Capital y reservas atribuibles a los accionistas de la Sociedad Capital social Reserva legal Acciones propias Resultados de ejercicios anteriores y reservas voluntarias Resultado del periodo Reserva por activos disponibles para la venta Total patrimonio neto PASIVO Pasivos no corrientes Deuda financiera Pasivos por impuestos diferidos Ingresos diferidos Pasivos corrientes Proveedores y otras cuentas a pagar Deuda financiera Ingresos diferidos Provisiones para otros pasivos y gastos,15 16 16 16 16 16 18 19 20 17 18 20 21,3.000 600 (8.701) 162.421 26.089 (3),3.000 600 (8.112) 149.490 19.809 (2)
,,183.406,164.785
,,20.828 1.640 5.532,32.631 1.344 5.861
,,28.000,39.836
,,59.852 12.966 746 2.878,45.742 10.147 840 2.497
,,76.442,59.226
Total pasivo,,104.442,99.062
Total patrimonio neto y pasivo,,287.848,263.847
