,Libertad de amortización,Otros,Total
Al 1 de enero de 2021,303,626,929
Cargo / (abono) a la cuenta de resultados,(153),—,(153)
Al 31 de diciembre de 2021,150 626 776,,
Cargo / (abono) a la cuenta de resultados,(99),—,(99)
Al 31 de diciembre de 2022,51 626 677,,
