Year 2019 2018,,
2019 2020 2021 2022 2023 2024,"- 1,996 1,600 1,788 1,178 1,220","2,032 1,791 1,540 1,595 934 963"
"2025 onward 3,907 2,653 11,689 11,508 Non-current 9,693 9,476 Current 1,996 2,032",,
