,Devoluciones,Descuentos al sistema público de salud,Otros,Total
Al 1 de enero de 2024,,,,
Adiciones,,,,
Aplicaciones,,,,
Al 31 de diciembre de 2024,,,,
Adiciones/(Reversiones),,,,
Aplicaciones,(1.459) (12.330) (327) (14.116),,,
Al 31 de diciembre de 2025,1.466 8.109 498 10.073,,,
