,,,,2020,,,,,,,,,,,,2019,,,,,,,,,,
,,,Days sick leave,,,Days worked,,,Absence rate,,,Sector absence rate,,,Days sick leave,,,Days worked,,,Absence rate,,,Sector absence rate,,
,TOTAL,,,"16,656",,,"499,355",,,3.34%,,,4.39%,,,"12,000",,,"476,347",,,2.52%,,,3.43%,
