,,PERIODO ACTUAL 31/12/2016,PERIODO ANTERIOR 31/12/2015
A) FLUJOS DE EFECTIVO DE LAS ACTIVIDADES DE EXPLOTACIÓN (1 + 2 + 3 + 4),0435,35.617,19.525
1. Resultado antes de impuestos,0405,31.797,15.639
2. Ajustes del resultado:,0410,2.686,7.176
(+) Amortización del inmovilizado,0411,7.608,6.321
(+/-) Otros ajustes del resultado (netos),0412,(4.922),855
3. Cambios en el capital corriente,0415,4.026,(1.025)
4. Otros flujos de efectivo de las actividades de explotación:,0420,(2.892),(2.265)
(-) Pagos de intereses,0421,,(394)
(+) Cobros de dividendos,0422,,
(+) Cobros de intereses,0423,,
(+/-) Cobros/(pagos) por impuesto sobre beneficios,0430,(3.397),(1.981)
(+/-) Otros cobros/(pagos) de actividades de explotación,0425,505,110
B) FLUJOS DE EFECTIVO DE LAS ACTIVIDADES DE INVERSIÓN (1 + 2),0460,(8.797),(7.582)
1. Pagos por inversiones:,0440,(10.522),(8.381)
"(-) Empresas del grupo, asociadas y unidades de negocio",0441,(228),
"(-) Inmovilizado material, intangible e inversiones inmobiliarias",0442,(10.294),(8.211)
(-) Otros activos financieros,0443,,(170)
(-) Otros activos,0444,,
2. Cobros por desinversiones:,0450,1.725,799
"(+) Empresas del grupo, asociadas y unidades de negocio",0451,1.000,
"(+) Inmovilizado material, intangible e inversiones inmobiliarias",0452,25,12
(+) Otros activos financieros,0453,,
(+) Otros activos,0454,700,787
C) FLUJOS DE EFECTIVO DE LAS ACTIVIDADES DE FINANCIACIÓN (1 + 2 + 3),0490,(16.954),(7.160)
1. Cobros y (pagos) por instrumentos de patrimonio:,0470,,
(+) Emisión,0471,,
(-) Amortización,0472,,
(-) Adquisición,0473,,
(+) Enajenación,0474,,
"(+) Subvenciones, donaciones y legados recibidos",0475,,
2. Cobros y (pagos) por instrumentos de pasivo financiero:,0480,(9.560),6.334
(+) Emisión,0481,797,11.501
(-) Devolución y amortización,0482,(10.357),(5.167)
3. Pagos por dividendos y remuneraciones de otros instrumentos de patrimonio,0485,(7.394),(13.494)
D) EFECTO DE LAS VARIACIONES DE LOS TIPOS DE CAMBIO,0492,,
E) AUMENTO/(DISMINUCIÓN) NETO DE EFECTIVO Y EQUIVALENTES (A + B + C + D),0495,9.866,4.783
F) EFECTIVO Y EQUIVALENTES AL INICIO DEL PERIODO,0499,27.142,22.359
G) EFECTIVO Y EQUIVALENTES AL FINAL DEL PERIODO (E + F),0500,37.008,27.142
