Q1 2025,Q1 2024,Growth
105.5,87.5,18.0
67.7,54.3,13.4
40.6,34.6,5.9
27.1,19.7,7.4
14.4,15.4,(1.0)
12.7,4.3,8.4
12.6,5.4,7.2
13.6,12.2,1.4
2.3,2.4,(0.1)
3.5,6.6,(3.1)
8.5,9.9,(1.4)
(2.7),(3.4),0.6
13.3,13.2,0.1
0.3,0.3,0.0
119.1,101.1,18.0
