,Licencias de distribución,Otros contratos,Total
Al 1 de enero de 2022,2.246 56.846 59.092,,
Altas,385 150.556 150.284 (792) (92.795) (92.930),,
Imputación a la cuenta de resultados,,,
Al 31 de diciembre de 2022,1.839 114.607 116.446,,
Altas,255 76.912 77.167 (339) (152.799) (153.138),,
Imputación a la cuenta de resultados,,,
Al 31 de diciembre de 2023,1.755 38.720 40.475,,
