,30 June 2024,,,30 June 2023,
Condensed financial information,"Cells IA Terafront Cells IA Enervit Technologies, Farmatech, Technologies, Nutrition, S.L. S.L. S.L. S.L.",,,,
Net assets of joint ventures at the beginning of the period,502,—,,—,"4,386"
Profit/(loss) of joint ventures for the period,"(86) — — 55,776",,,(128) (184),
Additions,,,,30,—
"Shareholder contribution, capital contribution and share premium paid by ROVI",,"19,091",,600 —,
Derecognition,—,—,,—,"(4,202)"
Net assets of joint ventures at the end of the period,416,"74,867",,502,—
Share in joint ventures,"545 19,091",,,567,—
Carrying amount,"545 19,091",,,567,—
