,Deferred tax Deferred tax Net deferred assets liabilities taxes,,
"At 1 January, 2023","2,078 (677) 1,401",,
(Charged) / credited to profit and loss (Charged) / credited to equity,(515) (107) (622),,
,1,—,1
"At 30 June, 2023","1,564 (784) 780",,
