,2022 2021,
Activos por impuestos diferidos:,,
– Activos por impuestos diferidos a recuperar en más de 12 meses,202 104 1.876 3.746,
– Activos por impuestos diferidos a recuperar en 12 meses,,
,2.078 3.850,
,,
Pasivos por impuestos diferidos:,,
– Pasivos por impuestos diferidos a cancelar en más de 12 meses,636 758 41 18,
– Pasivos por impuestos diferidos a cancelar en 12 meses,,
,677 776,
