,,CURRENT,PREVIOUS
,,PERIOD,PERIOD
,,31/12/2019,31/12/2018
(+) Cash in hand and at bank,0550,51.317,83.787
(+) Other financial assets,0552,,
(-) Less: bank overdrafts repayable on demand,0553,,
TOTAL CASH AND CASH EQUIVALENTS AT END OF PERIOD,0600,51.317,83.787
