Q1 2024,Q1 2023,Growth
87.5,92.4,(4.8)
54.3,59.3,(4.9)
34.6,34.9,(0.3)
19.7,24.4,(4.7)
15.4,17.3,(1.9)
4.3,7.1,(2.8)
5.4,2.2,3.2
12.2,11.3,0.9
2.4,5.0,(2.6)
6.6,6.6,0.0
9.9,11.9,(2.0)
(3.4),(3.9),0.5
13.2,11.7,1.5
0.3,0.3,0.0
101.1,104.3,(3.3)
