,,,
Q1 2025,Q1 2024,Growth,
18.8,15.5,3.3,
(11.6),(9.2),(2.4),
(7.0),(18.6),11.6,
1.9,,,
2.1,(12.2),14.4,-117 %
27.2,25.3,1.9,
29.3,13.1,16.2,124 %
