,,,,,,,,,,Thousands of euros,
,,,2018,,,,,,,2017,
,,,Debit,,,Credit,,,,Debit,
,,,,,,,,,,,Credit
"Public Treasury, VAT",,,"3,855",,,48,,,,"3,094",
,,,,,,,,,,,-
"Public Treasury, personal income tax",,,-,,,653,,,,-,
,,,,,,,,,,,796
Corporate income tax,,,"3,414",,,-,,,,"2,228",
,,,,,,,,,,,-
Social Security,,,-,,,518,,,,-,
,,,,,,,,,,,520
Other balances with public authorities,,,"1,147",,,-,,,,"1,297",
,,,,,,,,,,,-
,,,"8,416",,,"1,219",,,,"6,619",
,,,,,,,,,,,"1,316"
