,Fabricación,Comercialización,Otros,TOTAL
España,8.210 277.044 47.854 126.435 213.435 70.406,,99 — —,285.353 174.289 283.841
Unión Europea,,,,
Otros países,,,,
,269.499 473.885,,99,743.483
