Residuos peligrosos no destinados a eliminación,Escúzar,Granada,Madrid,SSRR,Alcalá de Henares,Distribución,Total
2025,,,,,,,
,,,,,,,"0,74"
,,,,,,,"1.274,12"
,,,,,,,"606,21"
Total,"1.298,41","386,57","85,75","33,94","51,57","24,83","1.881,07"
2024,,,,,,,
,,,,,,,"0,00"
,,,,,,,"561,45"
,,,,,,,"755,89"
Total,"480,28","455,35","112,80","110,77","156,87","1,27","1.317,34"
% Variación,"170,34 %58","-15,10 %","-23,97 %","-69,36 %","-67,13 %","1.848,63 %59","42,79 %"
