Nombre o denominación social del consejero,Denominación social de la entidad del grupo,Cargo,¿Tiene funciones ejecutivas?
DON JUAN LÓPEZ-BELMONTE ENCINA,"Bemipharma Manufacturing, S.L.","Representante Laboratorios Farmacéuticos Rovi, S.A.",SI
DON JUAN LÓPEZ-BELMONTE ENCINA,"Gineladius, S.L.","Representante Laboratorios Farmacéuticos Rovi, S.A.",SI
DON JUAN LÓPEZ-BELMONTE ENCINA,"Frosst Ibérica, S.A.","Representante Laboratorios Farmacéuticos Rovi, S.A.",SI
DON JUAN LÓPEZ-BELMONTE ENCINA,"Pan Química Farmacéutica, S.A.","Representante Laboratorios Farmacéuticos Rovi, S.A.",SI
DON JUAN LÓPEZ-BELMONTE ENCINA,"Rovi Contract Manufacturing, S.L.","Representante Laboratorios Farmacéuticos Rovi, S.A.",SI
DON IVÁN JORGE LÓPEZ- BELMONTE ENCINA,Rovi Biotech Limited,Administrador Único,SI
DON IVÁN JORGE LÓPEZ- BELMONTE ENCINA,Bertex Pharma GmbH,Administrador Solidario,SI
DON JUAN LÓPEZ-BELMONTE LÓPEZ,Rovi Biotech S.R.L.,"Representante Laboratorios Farmacéuticos Rovi, S.A.",SI
DON IVÁN JORGE LÓPEZ- BELMONTE ENCINA,Rovi GmbH,Administrador Único,SI
