Nombre,País de constitución,% de la participación,Naturaleza de la relación,Método de valoración
"Terafront Farmatech, S.L. (1)",España,"25,5 % 94,995 %",a),Participación
"Cells IA Technologies, S.L (2)",España,,b),Sociedad bajo control del Grupo
