Al 31 de diciembre de 2024,Menos de un año,Entre 1 y 2 años,Entre 2 y 5 años,Más de 5 años
Deudas con entidades de crédito (Nota 18),17.482 17.443 49.693 6.072 1.562 1.587 4.054 4.203,,,
Deudas con organismos oficiales (Nota 18),,,,
Proveedores (Nota 17),86.851,— — —,,
Pasivos financieros por arrendamiento (Nota 18),6.331 3.973 6.489,,,319
Otras cuentas a pagar (Nota 17),38.477,— — —,,
,150.703 46.057 39.851 7.925,,,
