,Manufacturing,Marketing,Other,Aggregated total
Total assets,"774,459 461,080 1,040 1,236,579",,,
Of which: Investments in Group companies Increases in non-current non-financial assets,,,,
,—,"26,428",— —,"26,428"
,"51,212 9,770",,,"60,982"
,,,,
Total liabilities,"(257,385)","(398,469)",(648),"(656,502)"
