,,Manufacturing,Marketing,,Other,,Aggregated total,Inter- segment transactions,,Consolidated total,,
,,,,,,,,Inter-,,,,
,,,,,,,,segment,,,,
,,,,,,,,transactions,,,,
Total segment revenues,,"142,688","287,763",,-,,"430,451","(127,248)",,"303,203",,
,,,,,,,,"(127,248)",,,"303,203",
,,,,,,,,,,,,
Profit/(loss),,"17,196","13,218",,(7),,"30,407","(12,512)",,"17,895",,
,,,,,,,,"(12,512)",,,,
Income tax,,"4,396","(5,550)",,(2),,"(1,156)",(59),,"(1,215)",,
,,,,,,,,(59),,,,
Profit/(loss) before tax,,"21,592","7,668",,(9),,"29,251","(12,571)",,"16,680",,
,,,,,,,,"(12,571)",,,,
Finance costs - net,,33,"(11,578)",,-,,"(11,545)","12,347",,802,,
,,,,,,,,"12,347",,,,
Amortisation,,"4,795","7,249",,-,,"12,044",-,,"12,044",,
,,,,,,,,-,,,,
EBITDA (*),,"26,420","3,339",,(9),,"29,750",(224),,"29,526",,
,,,,,,,,(224),,,"29,526",
,,,,,,,,,,,,
Amortisation,,"(4,795)","(7,249)",,-,,"(12,044)",-,,"(12,044)",,
,,,,,,,,-,,,,
EBIT (**),,"21,625","(3,910)",,(9),,"17,706",(224),,"17,482",,
,,,,,,,,(224),,,,
