Six-month period ended 30 June 2025,,Net carrying Net carrying amount amount 01.01.2025 Additions Payments 30.06.2025,,,
,,,,,
Bank borrowings (a) Debt with government entities (b) Finance lease liabilities (c) Financial derivatives,,"86,939 11,406","46,521 (28,467) 104,993 — (869) 10,537",,
,,"16,065 670 (3,028) 13,707",,,
,,—,62,0,62
,,"114,410 47,253 (32,364) 129,299",,,
