Number of meetings with in in-,9
person attendance of at least 80%,
of the directors,
,
% in-person attendance of the total,100.00
votes during the year,
Number of meetings with,9
either in-person attendance,
or proxies granted with,
specific instructions by all,
the directors,
% of votes cast in person or by proxy,100.00
with specific instructions out of the,
total votes during the year,
,
