,Terrenos y construc -ciones,"Instalaciones técnicas, maquinaria y utillaje",Otras instalaciones y mobiliario,Elementos informáticos y transporte y otro inmovilizado,Derechos de uso,Inmovili- zado en curso,Total
Saldo al 01.01.23,,,,,,,
Coste,45.119 280.489 3.876 19.412 32.807 40.174 421.877 (19.199) (151.975) (2.943) (16.863) (15.356) — (206.336),,,,,,
Amortización acumulada,,,,,,,
Valor neto contable 01.01.23,25.920 128.514 933 2.549 17.451 40.174 215.541,,,,,,
Altas,8.269 40.613 414 1.662 5.795 2.836 59.589,,,,,,
Bajas,— (427) — (354) — — (781) (6) 93 — 279 — — 366 7.257 26.702 462 120 — (34.541) — (405) (14.345) (124) (1.297) (4.892) — (21.063) 60.645 347.377 4.752 20.840 38.602 8.469 480.685 (19.610) (166.227) (3.067) (17.881) (20.248) — (227.033),,,,,,
Bajas de amortización,,,,,,,
Traspasos,,,,,,,
Dotación a la amortización,,,,,,,
Saldo al 31.12.23,,,,,,,
Coste,,,,,,,
Amortización acumulada,,,,,,,
Valor neto 31.12.23,41.035 181.150 1.685 2.959 18.354 8.469 253.652,,,,,,
Altas,6.552 42.897 378 1.218 3.351 8.074 62.470,,,,,,
Bajas,(2) (10.661),,(40),(508) (106) —,,,(11.317)
Bajas de amortización,— 6.233 39 518 — — 6.790,,,,,,
Traspasos,7.602 (2.105) 11 26 — (5.534) —,,,,,,
Dotación a la amortización,(871) (16.535) (215) (1.340) (6.012) — (24.973) 74.797 377.508 5.101 21.576 41.847 11.009 531.838 (20.481) (176.529) (3.243) (18.703) (26.260) — (245.216),,,,,,
Saldo al 31.12.24,,,,,,,
Coste,,,,,,,
Amortización acumulada,,,,,,,
Valor neto 31.12.24,54.316 200.979 1.858 2.873 15.587 11.009 286.622,,,,,,
