,Nota,A 31 de diciembre de,
,,2023,2022
PATRIMONIO NETO Patrimonio neto atribuido a la Sociedad dominante Capital social Prima de emisión Reserva legal Acciones propias Resultados de ejercicios anteriores y reservas voluntarias Resultado del ejercicio Otro resultado global acumulado Participaciones no dominantes Total patrimonio neto PASIVO Pasivos no corrientes Deuda financiera Pasivos por impuestos diferidos Pasivos contractuales Ingresos diferidos Pasivos corrientes Deuda financiera Proveedores y otras cuentas a pagar Pasivos por impuesto corriente Pasivos contractuales Ingresos diferidos,15 15 16 16 16 16 16 16 18 19 20 21 18 17 27 20 21,539.387 3.241 87.636 673 (107.676) 385.199 170.335 (21) 4.107,520.012 3.241 87.636 673 (27.561) 256.362 199.669 (8) 1.367
,,543.494,521.379
,,52.242 1.515 1.431 1.359,59.441 677 1.545 1.774
,,56.547,63.437
,,13.185 141.895 5.255 39.044 464,12.725 165.776 — 114.901 485
,,199.843,293.887
Total pasivo,,256.390,357.324
Total patrimonio neto y pasivo,,799.884,878.703
