,,,,,CUSTOMER COMPLAINTS,,,,,,CUSTOMER QUERIES: QUALITY & THERAPEUTIC,,,,,
,,,,,No. customer complaints,,,Complaints / million units,,,No. customer queries,,,Queries / million units,,
,"Laboratorios Farmacéuticos Rovi, S.A.",,,,"117 5.68 249 2.42 28 0.58 860 13.98 0 0.00 12 15.41 125 136,¡.26 3 30.29 7 4.10 1 3.46",,,,,,75 3.64 0 0.00 0 0.00 0 0.00 0 0.00 4 5.14 243 264.89 17 171.62 0 0.00 23 79.47,,,,,
"Rovi Pharma Industrial Services, S.A.",,,Madrid,,,,,,,,,,,,,
,,,San Sebastián de los Reyes,,,,,,,,,,,,,
,,,Alcalá de Henares,,,,,,,,,,,,,
,"Pan Química Farmacéutica, S.A.",,,,,,,,,,,,,,,
,"Laboratorios Farmacéuticos Rovi, S.A. perm. est.",,,,,,,,,,,,,,,
,Portugal,,,,,,,,,,,,,,,
,"Rovi Biotech, GmbH (Germany)",,,,,,,,,,,,,,,
,"Rovi Biotech, Limited (United Kingdom)",,,,,,,,,,,,,,,
,"Rovi Biotech, S.R.L (Italy)",,,,,,,,,,,,,,,
,Rovi S.A.S (France),,,,,,,,,,,,,,,
,TOTAL DISTRIBUTION,,,,,"1,402",,,5.92,,,362,,,1.53,
