,2019,,2018,,
DISTRIBUTION OF DISMSISSALS BY PROFESSIONAL GROUP * / GENDER,Men Women,TOTAL,Men Women,TOTAL,Var.
1 - - 2 4 3 3 4 3 4 - 1 5 10 7 6 3 2 7 1 1 8 - - 0 - -,,- 7 7 1 17 5 2 - -,- - 3 - 2 2 1 2 7 5 - 3 3 2 - 1 1 1,- 3 4 3 12 3 5 1 2,
TOTAL 22 17,,39,17 16,33,
