,2023 2022
Balance at beginning of period,"2,196,011 644,114"
Shares acquired under liquidity contract (c.1) Shares sold under liquidity contract (c.1) Shares acquired under Buy-Back Programmes (c.2) Shares for capital reduction in Buy-Back Programmes (c.2),"550,137 1,315,909 (564,563) (1,312,404) 685,074 1,548,392 (2,780,395) —"
Balance at end of period,"86,264 2,196,011"
