,Aggregated Manufacturing Marketing Other total,,,
Total assets,"789,545 483,188 2,162 1,274,895",,,
Of which: Investments in group companies Increases in non-current non-financial assets,,,,
,—,"32,050",— —,"32,050 65,570"
,"59,442 6,128",,,
,,,,
Total liabilities,"(193,130) (445,233)",,"(1,954)","(640,317)"
