Año base,KPI
Comportamiento ético,
2025,Incremento anual del número de empleados que completan la formación en el Código Ético hasta 2030.
Incorporación de criterios ESG en los órganos de gobierno,
2025,Inclusión de al menos 2 sesiones formativas al año en materia de ESG para los miembros del Consejo de Administración hasta 2030.
Generación de impacto en la sociedad,
2025,Incremento anual de la donación en especie de los medicamentos fabricados por ROVI hasta 2030 facilitando el acceso a tratamientos esenciales.
2025,Aumento del número de beneficiarios de los programas asistenciales en los que colabora ROVI.
