,,,,Thousands of euros,
,,,,2018,2017
,,,,,
Remuneration of executive directors,,,,"2,083","1,130"
Profit attributable to parent company,,,,"15,581","18,673"
Remuneration of executive directors/Profit attributable to parent company,,,,13.17%,6.05%
