,Thousands of euros
2017 2016,
Deferred income tax assets - Non-current - Current Deferred income tax liabilities - Non-current - Current Net deferred income tax,"3,477 1,024 5,174 2,583"
,"8,651 3,607"
,"(1,554) (1,641) (1,097) (1,050)"
,"(2,651) (2,691)"
,"6,000 916"
