,2024 2023,
Amount of invoices paid in less than 60 days (thousand euros) No. of invoices paid in less than 60 days % No. of invoices paid in less than 60 days/Total No. of invoices paid % amount of invoices paid in less than 60 days/Total amount of invoices paid,"388,106 33,867","379,217 26,888"
,90 % 92 %,62 % 64 %
