AVERAGE REMUNERATION BY GENDER,,,202,,0 2019,,Total variation,,
,Men,,,"38,677","€ 36,782 €",,,5%,
,Women,,,"35,410","€ 35,244 €",,,0%,
,AVERAGE,,,"37,044","€ 36,013 €",,,3%,
