,,Distribution licences,Other contracts,Total
,,Distribution,,
,,licences,,
"At 1 January, 2018",,914,-,914
,,914,,
Additions,,"5,927",800,"6,727"
,,"5,927",,
Charged / (credited) to income statement,,(219),-,(219)
,,(219),,
"At 31 December, 2018",,"6,622",800,"7,422"
,,"6,622",,
