,2025,2024,% Variación
Número de fallecimientos por causas 0 0 laborales,,,— %
Número de accidentes laborales 15 30 registrables,,,"-50,00 %"
"Índice de frecuencia - Tasa de accidentes 36,43 % 52,01 % de trabajo registrable",,,"-29,96 %"
"Índice de gravedad 0,07 % 0,22 %",,,"-66,35 %"
"Índice de incidencia 4,66 % 22,73 % -79,50 %",,,
"Número de jornadas perdidas por 31 128 -75,98 % accidente laboral",,,
