,Thousand euros,,,,
,Bank borrowings,,,Financial liabilities,
,,,,,
,2021,2020,,2021,2020
,,,,,
Financial liabilities at amortised cost (Note 18),"44,107","44,825",,"8,191","8,822"
Non-current,"44,107","44,825",,"8,191","8,822"
,,,,,
Financial liabilities at amortised cost (Note 18),714,175,,"68,045","141,508"
Financial liabilities at fair value through PL (Note 18),—,—,,17,925
Current,714 175,,,"68,062","142,433"
,,,,,
TOTAL,"44,821","45,000",,"76,253","151,255"
