,Devoluciones,Descuentos al sistema público de salud,Otros,Total
Al 1 de enero de 2021,,,,
Adiciones,,,,
Aplicaciones,,,,
Al 31 de diciembre de 2021,,,,
Adiciones/(Reversiones),,,,
Aplicaciones,(2.338) (3.870) (8) (6.216),,,
Al 31 de diciembre de 2022,2.165 2.868 115 5.148,,,
