CONSEJEROS EJECUTIVOS,,
Nombre o denominación social del consejero,Cargo en el organigrama de la sociedad,Perfil
,,"Consejo de Gobierno y Junta Directiva de Farmaindustria. Asimismo, ha sido Presidente del Comité de I+D+i de la CEOE desde marzo 2015 hasta finales de 2018. Comenzó su actividad laboral trabajando en compañías farmacéuticas de relevancia internacional en Estados Unidos y en Reino Unido, en distintas áreas farmacéuticas. Ha estado trabajando para la Sociedad desde 1994, fue nombrado Director General en octubre de 2001 y desde octubre de 2007 es el Consejero Delegado de la Sociedad. Fue nombrado consejero de la Sociedad por vez primera el 27 de julio de 2007 con ocasión de la salida a Bolsa de ROVI, siendo reelegido por la Junta General en 2012 y 2017. Actualmente, el Sr. López-Belmonte Encina es vocal del Consejo de Administración de Norbel Inversiones, S.L., vocal de Norbepa Inversiones, S.L., y vocal de Alentia Biotech, S.L."
DON IVÁN JORGE LÓPEZ-BELMONTE ENCINA,Ejecutivo (Director de Desarrollo Corporativo),"El Sr. López-Belmonte Encina es licenciado en Ciencias Económicas y Empresariales por el CEU San Pablo de Madrid, especialidad auditoría, en el año 1994. Es accionista de Norbel Inversiones, S.L. con un 26,67% de participación (sociedad que es, a su vez, accionista de control de ROVI) y vicepresidente 1.º del Consejo de Administración de ROVI. Empezó su actividad laboral en Alemania trabajando en empresas como Amersham, dedicada a la medicina nuclear y en Hexal AG, especializada en genéricos. Ha estado trabajando para la Sociedad desde 1995 y es director de desarrollo corporativo de ROVI desde septiembre de 2007. Fue nombrado consejero de la Sociedad por vez primera el 27 de julio de 2007 con ocasión de la salida a Bolsa de ROVI, siendo reelegido por la Junta General en 2012 y 2017. Actualmente, el Sr. López-Belmonte Encina es vocal del Consejo de Administración de Norbel Inversiones, S.L. y de Norbepa Inversiones, S.L., administrador solidario de Bertex Pharma Gmbh; y presidente y apoderado de Enervit Nutrition, S.L."
