,,CURRENT PERIOD,PREVIOUS PERIOD
,,31/12/2018,31/12/2017
(+) Cash in hand and at bank,1550,95.511,40.700
(+) Other financial assets,1552,,
(-) Less: bank overdrafts repayable on demand,1553,,
TOTAL CASH AND CASH EQUIVALENTS AT END OF PERIOD,1600,95.511,40.700
