,2025,2024,% Variación
"Hombres 37,00 27,77 33,24 %",,,
"Mujeres 36,03 28,40 26,87 %",,,
"Otro 0,00 0,00 — %",,,
"No notificado 0,00 0,00 — %",,,
Total,"36,52","28,09","30,02 %"
