Reported,,,Pre-R&D costs,,,,,
20,Q1 25,Q1 2024,Q1 2025,Q1 2024,% Growth,Q1 2025,Q1 2024,
15,4.9,151.2,154.9,151.2,2 %,154.9,151.2,
,0.2,0.2,0.2,0.2,35 %,0.2,0.2,
1,55.1,151.3,155.1,151.3,2 %,155.1,151.3,
(6,4.5),(65.7),(64.5),(65.7),-2 %,(64.5),(65.7),
90.6,,85.6,90.6,85.6,6 %,90.6,85.6,
58,.5 %,56.6 %,58.5 %,56.6 %,1.8 pp,58.5 %,56.6 %,
(,6.2),(6.1),0.0,0.0,n.a.,(6.1),(6.1),
(5,4.0),(53.6),(54.0),(53.6),1 %,(54.0),(53.6),
(0.1),,0.0,(0.1),0.0,n.a.,(0.1),0.0,n.a.
3,0.3,25.9,36.5,32.0,14 %,30.4,25.9,
19,.6 %,17.1 %,23.6 %,21.2 %,2.4 pp,19.6 %,17.1 %,
23.0,,19.3,29.2,25.4,15 %,23.2,19.3,
14,.9 %,12.8 %,18.9 %,16.8 %,2.1 pp,14.9 %,12.8 %,
18.1,,15.0,23.0,19.7,16 %,18.2,15.0,
11,.7 %,9.9 %,14.8 %,13.1 %,1.8 pp,11.7 %,9.9 %,1.8 pp
