,2024 2023
Mr Juan López-Belmonte Encina,180 180 80 80 80 80 80 80 80 80 80 80
Mr Javier López-Belmonte Encina,
Mr Iván López-Belmonte Encina,
Ms Marina del Corral Téllez,
Ms Teresa Corzo Santamaría,
Mr Marcos Peña Pinto,
Ms Fátima Báñez García,80 80
,660 660
