del 12 al 13 de abril de 2023 del 24 al 27 de abril de 2023,,,
Resultado: 3 No conformidades menores.,,Resultados: 1 No Conformidad menor. 9 observaciones.,
Granada,,,
Interna,,Externa,
del 7 al 8 de marzo de 2023,,del 22 al 23 de marzo de 2023,
Resultados: 2 observaciones.,,Resultados: 2 observaciones.,
