,,,,,,,
,,,,,,% of voting rights that can be,
,% of shares carrying voting,,% of voting rights through,,,,
,,,,,,transmitted through,
Name of director,rights,,financial instruments,,% of total voting rights,,
,,,,,,financial instruments,
,,,,,,,
,,,,,,,
,Direct,Indirect,Direct,Indirect,,Direct,Indirect
No data,,,,,,,
