,30 June 2024,31 December 2023
Trade payables,"80,876 107,593 21,058 2,299 7,270 7,598 5,838 6,126 76,130 18,279",
Debt with related parties (Note 9 & 25),,
Outstanding remuneration,,
Public authorities,,
Other payables,,
,"191,172 141,895",
