,Miles de euros,,
,Deudas con entidades de crédito,,Pasivos financieros
,2023 2022,,2023 2022
,,,
Pasivos financieros a coste amortizado (Nota 18),31.250,,
No corrientes,31.250,,
,,,
Pasivos financieros a coste amortizado (Nota 18),6.495,,
Pas. Finan. a VR cambios en la cuenta de PyG (Nota 18),—,,
Corrientes,,,
,,,
TOTAL,37.745,,
