,,,,2020,,,,,,,,,2019,,,,,,,,,,
,AVERAGE REMUNERATION OF,,Men,,,Women,,,AVERAGE,,,Men,,,Women,,,AVERAGE,,,Total variation,,
,MANAGEMENT COMMITTEE,,,,,,,,,,,,,,,,,,,,,,
,/GENDER,,,,,,,,,,,,,,,,,,,,,,
Fixed remuneration,,,,"188,677 €",,,"116,229 €",,,"152,453 €",,,"179,399 €",,,"113,333 €",,,"146,366 €",,,4%,
Variable remuneration,,,,"63,667 €",,,"28,333 €",,,"46,000 €",,,"61,444 €",,,"28,333 €",,,"44,889 €",,,2%,
Payment in kind,,,,"12,272 €",,,"9,151 €",,,"10,712 €",,,"10,944 €",,,"6,977 €",,,"8,961 €",,,20%,
AVERAGE TOTAL,,,,"264,615 €",,,"153,713 €",,,"209,164 €",,,"251,787 €",,,"148,643 €",,,"200,215 €",,,4%,
