,Note,"31 December,",
,,2017,2016
Profit for the year,,"17,241","26,089"
Items that may subsequently be reclassified to profit and loss + Changes in value of available-for-sale financial assets,11,1 1,(1) (1)
"Other comprehensive income, net of taxes",,1,(1)
Total comprehensive income for the year,,"17,242","26,088"
