,Fabricación,Comercialización,Otros,TOTAL
Total ingresos segmento,600.351 427.528 (264.130) —,,— —,1.027.879 (264.130)
Ingresos inter-segmentos,,,,
Ingresos de clientes externos,336.221 427.528,,—,763.749
