Nivel de la cadena de valor,Sub-sub- temática
Operaciones propias,Acceso a la información (de calidad)
,Acceso a la información (de calidad)
Aguas abajo,Acceso a la información (de calidad)
,Acceso a la información (de calidad)
Operaciones propias,Acceso a productos y servicios
,Acceso a productos y servicios
Aguas abajo,Acceso a productos y servicios
,Prácticas de marketing responsables
Operaciones propias,Protección de los niños
,Salud y seguridad
Operaciones propias,Salud y seguridad
,Salud y seguridad
Operaciones propias,Salud y seguridad
,Seguridad de una persona
Operaciones propias,Salud y seguridad
,Salud y seguridad
Operaciones propias,Salud y seguridad
